Id,Name,Tax category,Created at,Updated at,Organization,Uuid
2259,Onde el Gringo,7,2025-04-14 17:07:36 UTC,2025-04-14 17:07:36 UTC,2,chin_840c4e4a-ee13-4f64-9008-092f02a39c1b
2258,Walk-A-Mole,7,2025-04-14 17:07:22 UTC,2025-04-14 17:07:22 UTC,2,chin_a9e27a3c-9188-4000-80d1-a09f73504d84
2257,Bowland,7,2025-04-14 17:07:07 UTC,2025-04-14 17:07:07 UTC,2,chin_5e911e4d-ad94-4b6b-b0f2-d6efda797b42
2256,Utopia Taproom,7,2025-04-14 17:06:48 UTC,2025-04-14 17:06:48 UTC,2,chin_9f53c953-a4a2-4fb4-b4b5-856eb7d723d2
2255,Restaurante Pencas,7,2025-04-14 17:06:34 UTC,2025-04-14 17:06:34 UTC,2,chin_6b49bffc-2422-4efb-80fc-aa9bcf624b4d
2254,Moses Bikes Rentals,7,2025-04-14 17:06:18 UTC,2025-04-14 17:06:18 UTC,2,chin_c0299e47-5a6f-4d38-98a9-11309b1e6914
2253,Carne en Vara PTY,7,2025-04-14 17:06:03 UTC,2025-04-14 17:06:03 UTC,2,chin_d45951b6-ca87-464c-b5d3-d66519d42256
2252,Capital Cerveceria,7,2025-04-14 17:05:25 UTC,2025-04-14 17:05:25 UTC,2,chin_01f21154-40c2-4ed2-a52f-6b26d6a190fc
2251,La Vinería,7,2025-04-14 17:05:03 UTC,2025-04-14 17:05:03 UTC,2,chin_54b8007d-23d1-444f-b489-c4d085123063
2250,Barak Salon,7,2025-04-14 17:04:47 UTC,2025-04-14 17:04:47 UTC,2,chin_99412b87-7ca3-4e81-bbe5-e33a6f1341ef
2249,Magical Healthy Bistro,3,2025-04-10 21:19:04 UTC,2025-04-10 21:19:04 UTC,1,chin_0670e84f-d827-47a1-a903-4abeef11c074
2248,Mueblería Lares,5,2025-04-10 21:18:41 UTC,2025-04-10 21:18:41 UTC,1,chin_31af5fa4-9e36-4514-ad1c-5811a8ad9b51
2247,Román Auto Parts,5,2025-04-10 21:18:19 UTC,2025-04-10 21:18:19 UTC,1,chin_1ea97b20-8ea8-4abe-89c2-b8e204401999
2246,El Nuevo Flamboyán de Garibaldi,3,2025-04-10 18:10:26 UTC,2025-04-10 18:10:26 UTC,1,chin_b7cf8734-4a55-4299-848c-b6100271c271
2245,360 Sport Bar,3,2025-04-10 18:10:06 UTC,2025-04-10 18:10:06 UTC,1,chin_0195e352-0f4b-4a10-ab35-c11c06218aae
2244,Bari’s Pizza & Pasta,3,2025-04-10 18:08:55 UTC,2025-04-10 18:08:55 UTC,1,chin_a441e0dd-a389-48ba-a09e-395be7744836
2243,Pal Cuajo y Más,3,2025-04-10 18:08:40 UTC,2025-04-10 18:08:40 UTC,1,chin_0d092334-252e-4890-b526-b2888d537264
2242,Colmado y Agrocentro Royal Town,5,2025-04-10 18:08:14 UTC,2025-04-10 18:08:14 UTC,1,chin_f5cd469e-99e0-4fab-b389-5bdb5e585e89
2241,Vita-Fit,5,2025-04-10 18:07:50 UTC,2025-04-10 18:07:50 UTC,1,chin_7cd638b6-9454-4528-bef2-17c4ac5f856b
2240,Lenel Restaurant,3,2025-04-04 13:32:30 UTC,2025-04-04 13:32:30 UTC,1,chin_64b098e1-4bd7-452f-a5e2-1e2584655551
2239,Green Hills Pharmacy,5,2025-04-04 13:32:15 UTC,2025-04-04 13:32:15 UTC,1,chin_f492dad8-d563-4c42-bbd4-6976f4de66f8
2238,Romeo Gastrobar,3,2025-04-02 01:09:58 UTC,2025-04-02 01:09:58 UTC,1,chin_3171770a-4dfb-4cc4-9576-55d617819640
2237,Mercado Caribe Cocina & Barra,3,2025-04-02 01:09:41 UTC,2025-04-02 01:09:41 UTC,1,chin_770faa36-dfc1-4954-a960-e06b2b78aaec
2236,Figuras Perfectas,5,2025-04-02 01:09:23 UTC,2025-04-02 01:09:23 UTC,1,chin_2fe2c5a0-6be0-4c0b-a767-591802d76a62
2235,Pizza Stone,3,2025-04-02 01:09:01 UTC,2025-04-02 01:09:01 UTC,1,chin_0049dc15-50c7-4338-833c-16f927450ec0
2234,Farmacia Pro Vida,5,2025-04-02 01:08:45 UTC,2025-04-02 01:08:45 UTC,1,chin_556afd0f-b29d-4b96-841b-d2441a6f2d5f
2233,Infinity Jewelry,5,2025-04-02 01:08:26 UTC,2025-04-02 01:08:26 UTC,1,chin_75f85461-a6bc-41e9-9d57-b3753c529416
2232,Farmacia Unity,5,2025-03-31 15:00:44 UTC,2025-03-31 15:00:44 UTC,1,chin_2989f138-9ced-4bab-8fb9-dec0907159c3
2231,Kaipiriña Liquor Store Food,3,2025-03-27 16:59:20 UTC,2025-03-27 16:59:20 UTC,1,chin_a4e47235-4024-437b-b3ef-2c0ebc1ac57a
2230,Yamar Boutique & Personalization’s,5,2025-03-27 03:03:00 UTC,2025-03-27 03:03:00 UTC,1,chin_a2329217-d73f-49f7-9545-7ea02f1bb69a
2229,Manny Limousine,5,2025-03-27 02:03:36 UTC,2025-03-27 02:03:36 UTC,1,chin_a5454921-a178-4e92-99d1-65c5d036fd7c
2228,Color Caos,5,2025-03-27 02:03:23 UTC,2025-03-27 02:03:23 UTC,1,chin_bad6d4a3-8d52-4cc9-b852-97f5fbb0fb0d
2227,Farmacias Aliadas - Farmacia Lourdes,5,2025-03-27 02:02:38 UTC,2025-03-27 02:02:38 UTC,1,chin_967e9c29-0f86-423c-994a-74c028f9ac84
